,Cidade,UF,data,nome_feriado
0,Recife,PE,2023-12-25,Natal
1,Recife,PE,2023-12-08,N. Sra. da Conceição
2,Recife,PE,2023-11-15,Proclamação da República
3,Recife,PE,2023-11-02,Dia de Finados
4,Recife,PE,2023-10-12,Nossa Senhora Aparecida
5,Recife,PE,2023-09-07,Independência do Brasil
6,Recife,PE,2023-07-16,Padroeira
7,Recife,PE,2023-06-24,Dia de São João
8,Recife,PE,2023-05-01,Dia do Trabalho
9,Recife,PE,2023-04-21,Dia de Tiradentes
10,Recife,PE,2023-04-07,Sexta-feira Santa
11,Recife,PE,2023-04-07,Sexta-Feira Santa
12,Recife,PE,2023-03-06,Revolução Pernambucana
13,Recife,PE,2023-01-01,Ano Novo
14,Recife,PE,2024-12-25,Natal
15,Recife,PE,2024-12-08,N. Sra. da Conceição
16,Recife,PE,2024-11-15,Proclamação da República
17,Recife,PE,2024-11-02,Dia de Finados
18,Recife,PE,2024-10-12,Nossa Senhora Aparecida
19,Recife,PE,2024-09-07,Independência do Brasil
20,Recife,PE,2024-07-16,Padroeira
21,Recife,PE,2024-06-24,Dia de São João
22,Recife,PE,2024-05-01,Dia do Trabalho
23,Recife,PE,2024-04-21,Dia de Tiradentes
24,Recife,PE,2024-03-29,Sexta-feira Santa
25,Recife,PE,2024-03-29,Sexta-Feira Santa
26,Recife,PE,2024-03-06,Revolução Pernambucana
27,Recife,PE,2024-01-01,Ano Novo
28,Recife,PE,2025-12-25,Natal
29,Recife,PE,2025-12-08,N. Sra. da Conceição
30,Recife,PE,2025-11-15,Proclamação da República
31,Recife,PE,2025-11-02,Dia de Finados
32,Recife,PE,2025-10-12,Nossa Senhora Aparecida
33,Recife,PE,2025-09-07,Independência do Brasil
34,Recife,PE,2025-07-16,Padroeira
35,Recife,PE,2025-06-24,Dia de São João
36,Recife,PE,2025-05-01,Dia do Trabalho
37,Recife,PE,2025-04-21,Dia de Tiradentes
38,Recife,PE,2025-04-18,Sexta-feira Santa
39,Recife,PE,2025-04-18,Sexta-Feira Santa
40,Recife,PE,2025-03-06,Revolução Pernambucana
41,Recife,PE,2025-01-01,Ano Novo
42,Recife,PE,03-03-2025,Carnaval
43,Recife,PE,04-03-2025,Carnaval
