hotel,cidade,preço,checkin,checkout,dist_centro,dist_praia,avaliacao,qtnd_avaliacoes,data_extracao
Hotel Euro Suíte Recife Boa Viagem,Recife,1749,2024-07-1,2024-07-8,8.1,0.5,7.8,3102,2024-6-6
Kastel Manibu Recife - Boa Viagem,Recife,1604,2024-07-1,2024-07-8,4.7,0.25,8.4,4768,2024-6-6
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2024-07-1,2024-07-8,0.2,2.5,8.3,3,2024-6-6
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2024-07-1,2024-07-8,1.2,None,9.7,36,2024-6-6
Transamerica Fit Recife,Recife,1751,2024-07-1,2024-07-8,7.0,0.65,8.3,5177,2024-6-6
Rede Andrade LG Inn,Recife,1409,2024-07-1,2024-07-8,6.8,0.25,7.7,8861,2024-6-6
Hotel Central,Recife,805,2024-07-1,2024-07-8,0.8,None,7.3,393,2024-6-6
Flat beach Class conselheiro Aguiar,Recife,945,2024-07-1,2024-07-8,7.7,None,9.7,3,2024-6-6
Rede Andrade Onda Mar,Recife,1139,2024-07-1,2024-07-8,7.8,0.3,7.0,7735,2024-6-6
BEACH CLASS INTERNACIONAL FRENTE MAR,Recife,1616,2024-07-1,2024-07-8,4.3,0.0,8.7,142,2024-6-6
Beach Class Convention By Hôm - Antigo Bristol Recife,Recife,2190,2024-07-1,2024-07-8,6.6,0.8,8.4,4421,2024-6-6
Flat Metropoles Ilha do Leite by Easy Home,Recife,1301,2024-07-1,2024-07-8,1.7,None,8.5,264,2024-6-6
Hotel Uzi Mar,Recife,1260,2024-07-1,2024-07-8,4.8,0.25,7.9,2452,2024-6-6
Casa Rosarinho 1- RECIFE - Quartos com Banheiros Exclusivos,Recife,490,2024-07-1,2024-07-8,3.2,None,9.2,388,2024-6-6
Lar Recife Olinda - Hostel com suites individuais,Recife,951,2024-07-1,2024-07-8,3.5,1.6,9.5,105,2024-6-6
