_id,tipo_equipamento,registro_inmetro,numero_serie_fabricante,identificacao_equipamento,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,periodo_vmd
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV. GENERAL SAN MARTIN - Nº 1864,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20
2,FIXO,Portaria 41/1996,J06904,CTTU 5954,AV. ALFREDO LISBOA - ENTRE O Nº 33 E 18,-,-8.0637868,-34.8716323,1,30,9900,dez/20
3,FIXO,Portaria 41/1996,5324,CTTU 5954,AV. ALFREDO LISBOA - ENTRE O Nº 33 E 18,-,-8.0637868,-34.8716323,1,30,7200,dez/20
4,FIXO,Portaria 41/1996,J06906,CTTU 5952,AV. AFONSO OLINDENSE - Nº 996,DOIS SENTIDOS,-8.0392812,-34.957554,2,40,14500,dez/20
5,FIXO,Portaria 41/1996,J06907,CTTU 5953,"AV. MAURICIO DE NASSAU, ENTRONC. TRAV. SANTA LUCIA",DOIS SENTIDOS,-8.0390258,-34.9301165,2,40,18300,dez/20
6,FIXO,Portaria 82/2001,L06925,CTTU 5946,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,2,60,18400,dez/20
7,FIXO,Portaria 82/2001,L06926,CTTU 5947,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,1,60,8500,dez/20
8,FIXO,Portaria 82/2001,L06928,CTTU 5944,"PRAÇA GOV. PAULO GUERA, PROX. AO SEMÁFORO 662",SUBÚRBIO,-8.0800835,-34.8921567,2,60,26400,dez/20
9,FIXO,Portaria 82/2001,L06927,CTTU 5945,"AV. ENG. JOSÉ ESTELITA, APÓS PTE. AGAMENON MAGALHÃES",DERBY,-8.0807628,-34.8912129,2,60,36600,dez/20
10,FIXO,Portaria 82/2001,L06929,CTTU 5948,"AV. GOV. AGAMENON MAGALHÃES, LADO OPOSTO AO N. 1800",OLINDA,-8.0431659,-34.8858642,2,60,26900,dez/20
