_id,tipo_equipamento,registro_inmetro,numero_serie_fabricante,identificacao_equipamento,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,periodo_vmd,data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-01-20,09:30:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,,,EM FRENTE AO HOSPITAL GETULIO VARGAS,CORDEIRO,185.0,SUBURBIO,ATROPELAMENTO,COM UMA VITIMA AGUARDANDO SOCORRO/ VT 24 NO LOCAL,,1.0,,,1.0,,,,,1.0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,,,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-01-22,08:31:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,2066,,,SAN MARTIN,,SUBURBIO,COLISÃO TRASEIRA,COLISAO S/ VITIMA. ENTRE DOIS VEICULOS,2.0,,,,,,,,,0.0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-02-04,09:35:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,,AV ENGENHEIRO ABDIAS DE CARVALHO,COMPAZ,SAN MARTIN,58.0,SUBURBIO,ABALROAMENTO LONGITUDINAL,CARRETA E AUTO PASSEIO,1.0,,,,,,,,1.0,0.0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,40 km/h,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-02-10,16:52:00,SEM VÍTIMA,CANCELADA,CORDEIRO,AV GENERAL SAN MARTIN,590,,PROXIMO AO SUPERMERCADO IDEAL,CORDEIRO,,,COLISÃO,COLISÃO SEM VÍTIMA,1.0,,,,,1.0,,,,0.0,,,,,,,,,,,,,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-02-27,20:22:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,2087,,,SAN MARTIN,,CIDADE,ABALROAMENTO LONGITUDINAL,GOL X KWID,2.0,,,,,,,,,0.0,,Longo da via,Bom,Não existe,Ilegível,Seca,Mal iluminada,Não existe,Não há placas,,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-02-29,15:02:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,2102,,COPIADORA E PAPELARIA SANTO ANTONIO,SAN MARTIN,,,CHOQUE VEÍCULO PARADO,COLISAO ENTRE AUTO E MOTO S/V,2.0,2.0,,,,,,,,0.0,,Longo da via,Bom,,,Seca,Perfeito estado,,,,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-03-09,07:51:00,SEM VÍTIMA,CANCELADA,CORDEIRO,AV GENERAL SAN MARTIN,330,,PROX. A DR FRIOS SISTEMA DE REFRIGERAÇÃO,CORDEIRO,,,COLISÃO,AUTO E MOTO,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-03-09,09:15:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,608,,ATACAREJO IDEAL,CORDEIRO,67.0,SUBURBIO,CHOQUE VEÍCULO PARADO,COLISÃO SEM VITIMAS,1.0,,1.0,,,,,,,0.0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-03-21,19:55:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,,AV ENGENHEIRO ABDIAS DE CARVALHO,PROX AO COMPAZ // GETULIO VARGAS,CORDEIRO,,CIDADE,ABALROAMENTO TRANSVERSAL,AUTO X MOTO,1.0,1.0,,,,,,,,1.0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60 km/h,Dupla,,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-05-31,14:18:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,1083,,EM FRENTE AO CORREIOS DE SAN MARTIN,CORDEIRO,403.0,SUBURBIO,COLISÃO,COLISÃO COM VITIMA,1.0,1.0,,,,,,,,1.0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,R-6a,,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-07-21,11:25:00,COM VÍTIMA,FINALIZADA,BONGI,AV GENERAL SAN MARTIN,1000,,E/F AOS CORREIOS,BONGI,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO C/VITIMA ENTRE UM AUTO E UMA MOTO,1.0,1.0,,,,,,,,1.0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,60 km/h,Dupla,Faixa contínua,,
1,FIXO,Portaria 41/1996,J06905,CTTU 5951,AV GENERAL SAN MARTIN,DOIS SENTIDOS,-8.067404,-34.9278451,2,40,19900,dez/20,2020-07-29,09:58:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,1450,,EM FRENTE A O IPA,SAN MARTIN,,SUBURBIO,ABALROAMENTO TRANSVERSAL,AUTO E MOTO COM UMA VITIMA.,1.0,1.0,,,,,,,,1.0,,Longo da via,Nublado,Não existe,Incompleta,Seca,Perfeito estado,Faixa de pedestre,R-6a,40 km/h,Dupla,Faixa contínua,Faixa seccionada,
