Hotel,Preço,Checkin,Checkout,Dist_centro,Dist_praia
Kent Cosy House,332.0,2024-05-21,2024-05-22,1.4,None
The Pacific House,159.0,2024-05-21,2024-05-22,0.7,None
ibis Sydney Airport,507.0,2024-05-21,2024-05-22,6.8,None
YHA Sydney Central,153.0,2024-05-21,2024-05-22,1.3,None
VENUS Harbourside - FEMALE ONLY HOSTEL,117.0,2024-05-21,2024-05-22,1.1,None
Holiday Inn Express Sydney Airport an IHG Hotel,600.0,2024-05-21,2024-05-22,7,None
ibis budget Sydney Airport,439.0,2024-05-21,2024-05-22,7.2,None
Travelodge Hotel Sydney Airport,550.0,2024-05-21,2024-05-22,6.8,None
Citadines Connect Sydney Airport,612.0,2024-05-21,2024-05-22,7.1,None
VENUS Central Sydney - FEMALE ONLY HOSTEL,129.0,2024-05-21,2024-05-22,1,None
The Jensen Potts Point,384.0,2024-05-21,2024-05-22,1.5,2.6 km da praia
Nate's Place Backpackers Sydney,116.0,2024-05-21,2024-05-22,1,None
Lillou Hostels,93.0,2024-05-21,2024-05-22,1.3,2.9 km da praia
Sydney Pod Hotels - Darling Harbour,117.0,2024-05-21,2024-05-22,1.2,None
VENUS Potts Point - FEMALE ONLY HOSTEL - Long stay negotiable,102.0,2024-05-21,2024-05-22,1.3,2.9 km da praia
YHA Sydney Harbour,178.0,2024-05-21,2024-05-22,1.2,None
The Pod Sydney,231.0,2024-05-21,2024-05-22,0.9,None
Hotel Challis Potts Point,546.0,2024-05-21,2024-05-22,1.5,2.6 km da praia
Rydges Sydney Airport Hotel,1.013,2024-05-21,2024-05-22,8.3,2.3 km da praia
Tequila Sunrise Hostel Sydney,212.0,2024-05-21,2024-05-22,0.9,None
Mad Monkey Broadway,102.0,2024-05-21,2024-05-22,2.1,None
Big Backpackers Hostel,119.0,2024-05-21,2024-05-22,1.1,None
ibis Budget - Enfield,272.0,2024-05-21,2024-05-22,12.8,None
Mad Monkey Downtown,102.0,2024-05-21,2024-05-22,1.4,2.8 km da praia
Secret Garden Backpackers Sydney,116.0,2024-05-21,2024-05-22,2.2,None
Medusa Hotel Sydney,767.0,2024-05-21,2024-05-22,1.3,None
The Ultimo,915.0,2024-05-21,2024-05-22,1.3,None
St Marks Randwick,514.0,2024-05-21,2024-05-22,5.8,1.4 km da praia
Wake Up! Sydney Central,181.0,2024-05-21,2024-05-22,1.4,None
YEHS Hotel Sydney CBD,520.0,2024-05-21,2024-05-22,0.7,None
Potts Point Hostel,118.0,2024-05-21,2024-05-22,1.4,2.8 km da praia
ibis Styles Sydney Central,659.0,2024-05-21,2024-05-22,0.9,None
ibis Sydney World Square,677.0,2024-05-21,2024-05-22,0.8,None
ibis budget Sydney East,473.0,2024-05-21,2024-05-22,1.2,None
