Hotel,Cidade,Preço,Checkin,Checkout,Dist_centro,Dist_praia,Avaliacao,Data_extracao
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2025-01-01,2025-01-08,0.2,2.5,8.3,2024-5-16
Hotel Dan Inn Mar Piedade - Grande Recife,Recife,2101,2025-01-01,2025-01-08,13.7,0.0,7.8,2024-5-16
Villa d'Oro Hotel,Recife,2136,2025-01-01,2025-01-08,1.4,2.9,8.6,2024-5-16
Lindo APT Cinza à 50m do mar - Praia de Boa Viagem,Recife,1017,2025-01-01,2025-01-08,5.8,None,10.0,2024-5-16
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2025-01-01,2025-01-08,1.2,None,9.7,2024-5-16
ibis Recife Boa Viagem,Recife,2048,2025-01-01,2025-01-08,4.4,0.35,8.0,2024-5-16
APARTAMENTO PROXIMO À UFPE,Recife,964,2025-01-01,2025-01-08,8.4,None,9.1,2024-5-16
Rede Andrade LG Inn,Recife,1827,2025-01-01,2025-01-08,6.8,0.25,7.7,2024-5-16
Hotel Golden Park Recife Boa Viagem,Recife,2632,2025-01-01,2025-01-08,9.3,0.0,7.5,2024-5-16
Rede Andrade Plaza Recife,Recife,1670,2025-01-01,2025-01-08,0.6,3.0,7.0,2024-5-16
Hotel Enseada Boa Viagem,Recife,1863,2025-01-01,2025-01-08,8.6,0.6,7.5,2024-5-16
Radisson Recife,Recife,4998,2025-01-01,2025-01-08,5.7,0.0,8.8,2024-5-16
Oxen Hostel 2024,Recife,226,2025-01-01,2025-01-08,0.45,None,6.0,2024-5-16
Marante Plaza Hotel,Recife,2800,2025-01-01,2025-01-08,5.0,0.0,8.3,2024-5-16
Dublê Hotel - The Original,Recife,2176,2025-01-01,2025-01-08,6.5,0.15,7.7,2024-5-16
'"Apartamento EXCLUSIVO - Novo com 2 Quartos Climatizados Suíte Varanda Piscina e Academia - Vaga na garagem TV de 70'' Localização Premium ao Lado do Shopping Rio Mar - Inclui Enxoval Completo e Mimos!'",Recife,1615,2025-01-01,2025-01-08,3.5,1.0,9.9,2024-5-16
Studio com varanda - Melhor localização do Arruda,Recife,682,2025-01-01,2025-01-08,3.6,None,9.0,2024-5-16
Lê'Frevo Pernambucano Hostel,Recife,298,2025-01-01,2025-01-08,0.6,3.0,7.5,2024-5-16
Hotel Atlante Plaza,Recife,4347,2025-01-01,2025-01-08,9.2,0.0,8.8,2024-5-16
Rede Andrade Onda Mar,Recife,1575,2025-01-01,2025-01-08,7.8,0.3,7.0,2024-5-16
BOA VIAGEM - FLAT ROOFTOP ALTO PADRÃO,Recife,2142,2025-01-01,2025-01-08,6.4,0.55,9.8,2024-5-16
Hotel Enseada Aeroporto,Recife,1565,2025-01-01,2025-01-08,9.7,0.75,7.5,2024-5-16
Lindo APT Azul a 50 metros do mar - Praia de Boa Viagem,Recife,1004,2025-01-01,2025-01-08,5.8,None,10.0,2024-5-16
Costa Mar Recife Hotel by Atlantica,Recife,3005,2025-01-01,2025-01-08,13.6,0.0,7.5,2024-5-16
Hotel Jangadeiro,Recife,3374,2025-01-01,2025-01-08,6.9,0.5,7.8,2024-5-16
Mercure Recife Navegantes,Recife,2438,2025-01-01,2025-01-08,7.0,0.1,7.2,2024-5-16
Park Hotel,Recife,2684,2025-01-01,2025-01-08,8.6,0.1,8.5,2024-5-16
Qto Duplo próximo ao Shopping Recife,Recife,625,2025-01-01,2025-01-08,8.1,None,10.0,2024-5-16
Hotel Nacional Inn Recife Aeroporto,Recife,2306,2025-01-01,2025-01-08,8.0,1.2,7.1,2024-5-16
Bonito é ser Feliz,Recife,757,2025-01-01,2025-01-08,4.8,None,9.7,2024-5-16
Apartamento boa viagem,Recife,1314,2025-01-01,2025-01-08,5.2,None,None,2024-5-16
Hotel Euro Suíte Recife Boa Viagem,Recife,3814,2025-01-01,2025-01-08,8.1,0.5,7.8,2024-5-16
SUITE e QUARTOS -1 SUITE COM BANHEIRO PRIVATIVO - 2 QUARTOS DUPLOS COM BANHEIRO COMPARTILHADO,Recife,1410,2025-01-01,2025-01-08,3.4,None,9.3,2024-5-16
Duplex,Recife,714,2025-01-01,2025-01-08,0.7,None,None,2024-5-16
Bugan Recife Boa Viagem Hotel - by Atlantica,Recife,5340,2025-01-01,2025-01-08,8.3,0.35,9.1,2024-5-16
Transamerica Prestige Recife - Boa Viagem,Recife,3707,2025-01-01,2025-01-08,4.3,0.0,8.4,2024-5-16
Lindo Apartamento com piscina - Beira Mar,Recife,1750,2025-01-01,2025-01-08,5.7,0.0,8.9,2024-5-16
Apartamentos a 2 min. da Praia localização exclusiva,Recife,1761,2025-01-01,2025-01-08,5.8,0.25,9.1,2024-5-16
Excelente flat em Setúbal Boa Viagem até 4 pessoas cercado por restaurantes e supermercados PM802,Recife,1708,2025-01-01,2025-01-08,9.6,0.4,9.2,2024-5-16
Beira-mar Boa Viagem - Costa Vicentina by Bnb Flex,Recife,1960,2025-01-01,2025-01-08,10.2,0.5,8.6,2024-5-16
Fity Hotel,Recife,3931,2025-01-01,2025-01-08,7.3,0.25,8.7,2024-5-16
Apart Hotel Beach Class HÔM - 1902,Recife,1693,2025-01-01,2025-01-08,6.6,None,10.0,2024-5-16
AMPLA e CONFORTÁVEL SUITE - BAIRRO DO ESPINHEIRO - RECIFE,Recife,2183,2025-01-01,2025-01-08,1.6,None,9.6,2024-5-16
Hotel Fit transamérica,Recife,1604,2025-01-01,2025-01-08,7.0,None,10.0,2024-5-16
Flat Recife - Boa Viagem,Recife,2767,2025-01-01,2025-01-08,7.0,0.0,8.2,2024-5-16
Espaço inteiro a beira mar,Recife,1142,2025-01-01,2025-01-08,7.0,None,None,2024-5-16
Stay Residence - CASA COMPARTILHADA,Recife,504,2025-01-01,2025-01-08,1.0,None,6.7,2024-5-16
